"Event","Time","Name"
"50m freestyle","20.91","César Cielo"
"100m freestyle","46.86","David Popovici"
"200m freestyle","1:42.00","Paul Biedermann"
"400m freestyle","3:40.07","Paul Biedermann"
"800m freestyle","7:32.12","Zhang Lin"
"1500m freestyle","14:31.02","Sun Yang"
"50m backstroke","23.71","Hunter Armstrong"
"100m backstroke","51.60","Thomas Ceccon"
"200m backstroke","1:51.92","Aaron Peirsol"
"50m breaststroke","25.95","Adam Peaty"
"100m breaststroke","56.88","Adam Peaty"
"200m breaststroke","2:05.95","Zac Stubblety-Cook"
"50m butterfly","22.27","Andriy Govorov"
"100m butterfly","49.45","Caeleb Dressel"
"200m butterfly","1:50.34","Kristóf Milák"
"200m individual medley","1:54.00","Ryan Lochte"
"400m individual medley","4:03.84","Michael Phelps"
"4×100m freestyle relay","3:08.24",".mw-parser-output .plainlist ol,.mw-parser-output .plainlist ul{line-height:inherit;list-style:none;margin:0;padding:0}.mw-parser-output .plainlist ol li,.mw-parser-output .plainlist ul li{margin-bottom:0} (47.51)Michael Phelps (47.02)Garrett Weber-Gale (47.65)Cullen Jones (46.06)Jason Lezak"
"4×200m freestyle relay","6:58.55","(1:44.49)Michael Phelps (1:44.13)Ricky Berens (1:45.47)David Walters (1:44.46)Ryan Lochte"
"4×100m medley relay","3:26.78","(52.31)Ryan Murphy (58.49)Michael Andrew (49.03)Caeleb Dressel (46.95)Zach Apple"
"50m freestyle","23.67","Sarah Sjöström"
"100m freestyle","51.71","Sarah Sjöström"
"200m freestyle","1:52.98","Federica Pellegrini"
"400m freestyle","3:56.40","Ariarne Titmus"
"800m freestyle","8:04.79","Katie Ledecky"
"1500m freestyle","15:20.48","Katie Ledecky"
"50m backstroke","26.98","Liu Xiang"
"100m backstroke","57.45","Kaylee McKeown"
"200m backstroke","2:03.35","Regan Smith"
"50m breaststroke","29.30","Benedetta Pilato"
"100m breaststroke","1:04.13","Lilly King"
"200m breaststroke","2:18.95","Tatjana Schoenmaker"
"50m butterfly","24.43","Sarah Sjöström"
"100m butterfly","55.48","Sarah Sjöström"
"200m butterfly","2:01.81","Liu Zige"
"200m individual medley","2:06.12","Katinka Hosszú"
"400m individual medley","4:26.36","Katinka Hosszú"
"4×100m freestyle relay","3:29.69","(53.01)Bronte Campbell (53.09)Meg Harris (51.35)Emma McKeon (52.24)Cate Campbell"
"4×200m freestyle relay","7:39.29","(1:56.27)Madison Wilson (1:55.40)Kiah Melverton (1:54.80)Mollie O'Callaghan (1:52.82)Ariarne Titmus"
"4×100m medley relay","3:50.40","(57.57)Regan Smith (1:04.81)Lilly King (56.16)Kelsi Dahlia (51.86)Simone Manuel"
"4×100m freestyle relay","3:19.38","(48.12)Jack Cartwright (46.98)Kyle Chalmers (52.25)Madison Wilson (52.03)Mollie O'Callaghan"
"4×100m medley relay","3:37.58","(58.80)Kathleen Dawson (56.78)Adam Peaty (50.00)James Guy (52.00)Anna Hopkin"
"50m freestyle","20.16","Caeleb Dressel"
"100m freestyle","44.84","Kyle Chalmers"
"200m freestyle","1:39.37","Paul Biedermann"
"400m freestyle","3:32.25","Yannick Agnel"
"800m freestyle","7:23.42","Grant Hackett"
"1500m freestyle","14:06.88","Florian Wellbrock"
"50m backstroke","22.22","Florent Manaudou"
"50m backstroke","22.11","Kliment Kolesnikov"
"100m backstroke","48.33","Coleman Stewart"
"200m backstroke","1:45.63","Mitch Larkin"
"50m breaststroke","24.95","Emre Sakçı"
"100m breaststroke","55.28","Ilya Shymanovich"
"200m breaststroke","2:00.16","Kirill Prigoda"
"50m butterfly","21.75","Nicholas Santos"
"50m butterfly","21.75","Szebasztián Szabó"
"100m butterfly","47.78","Caeleb Dressel"
"200m butterfly","1:46.85","Tomoru Honda"
"100m individual medley","49.28","Caeleb Dressel"
"200m individual medley","1:49.63","Ryan Lochte"
"400m individual medley","3:54.81","Daiya Seto"
"4×50m freestyle relay","1:21.80","(20.43)Caeleb Dressel (20.25)Ryan Held (20.59)Jack Conger (20.53)Michael Chadwick"
"4×50m freestyle relay","1:20.77","(20.64)Alain Bernard (20.33)Fabien Gilot (19.93)Amaury Leveaux (19.87)Frédérick Bousquet"
"4×100m freestyle relay","3:02.75","(46.15)Alessandro Miressi (45.93)Paolo Conte Bonin (45.54)Leonardo Deplano (45.13)Thomas Ceccon"
"4×200m freestyle relay","6:44.12","(1:41.04)Kieran Smith (1:40.48)Carson Foster (1:41.44)Trenton Julian (1:41.16)Drew Kibler"
"4×50m medley relay","1:29.72","(22.65)Lorenzo Mora (24.95)Nicolò Martinenghi (21.60)Matteo Rivolta (20.52)Leonardo Deplano"
"4×100m medley relay","3:18.98","(49.46)Isaac Cooper (56.55)Joshua Yong (48.34)Matthew Temple (44.63)Kyle Chalmers"
"4×100m medley relay","3:18.98","(48.96)Ryan Murphy (54.88)Nic Fink (49.19)Trenton Julian (45.95)Kieran Smith"
"50m freestyle","22.93","Ranomi Kromowidjojo"
"100m freestyle","50.25","Cate Campbell"
"200m freestyle","1:50.31","Siobhan Haughey"
"400m freestyle","3:51.30","Li Bingjie"
"800m freestyle","7:57.42","Katie Ledecky"
"1500m freestyle","15:08.24","Katie Ledecky"
"50m backstroke","25.25","Maggie Mac Neil"
"100m backstroke","54.89","Minna Atherton"
"200m backstroke","1:58.94","Kaylee McKeown"
"50m breaststroke","28.37","Rūta Meilutytė"
"100m breaststroke","1:02.36","Rūta Meilutytė"
"100m breaststroke","1:02.36","Alia Atkinson"
"100m breaststroke","1:02.36","Alia Atkinson"
"200m breaststroke","2:14.57","Rebecca Soni"
"50m butterfly","24.38","Therese Alshammar"
"100m butterfly","54.05","Maggie Mac Neil"
"200m butterfly","1:59.61","Mireia Belmonte Garcia"
"100m individual medley","56.51","Katinka Hosszú"
"200m individual medley","2:01.86","Katinka Hosszú"
"400m individual medley","4:18.94","Mireia Belmonte Garcia"
"4×50m freestyle relay","1:32.50","(23.05)Ranomi Kromowidjojo (23.16)Maaike de Waard (23.47)Kim Busch (22.82)Femke Heemskerk"
"4×100m freestyle relay","3:25.43","(52.19)Mollie O'Callaghan (51.28)Madison Wilson (52.00)Meg Harris (49.96)Emma McKeon"
"4×200m freestyle relay","7:30.87","(1:53.13)Madison Wilson (1:52.83)Mollie O'Callaghan (1:52.67)Leah Neale (1:52.24)Lani Pallister"
"4×50m medley relay","1:42.35","(25.49)Mollie O'Callaghan (29.11)Chelsea Hodges (24.43)Emma McKeon (23.32)Madison Wilson"
"4×100m medley relay","3:44.35","(56.47)Claire Curzan (1:02.88)Lilly King (54.53)Torri Huske (50.47)Kate Douglass"
"4×50m freestyle relay","1:27.33","(20.92)Maxime Grousset (20.26)Florent Manaudou (23.00)Béryl Gastaldello (23.15)Mélanie Henique"
"4×50m medley relay","1:35.15","(22.37)Ryan Murphy (24.96)Nic Fink (24.09)Kate Douglass (23.73)Torri Huske"
NA,NA,NA
